,sample
159,TCGA.OR.A5LK.01.2
160,TCGA.OR.A5LL.01.2
161,TCGA.OR.A5LM.01.2
162,TCGA.OR.A5LN.01.2
163,TCGA.OR.A5LO.01.2
164,TCGA.OR.A5LP.01.2
165,TCGA.OR.A5LR.01.2
166,TCGA.OR.A5LS.01.2
167,TCGA.OR.A5LT.01.2
168,TCGA.OU.A5PI.01.2
169,TCGA.P6.A5OG.01.2
170,TCGA.PA.A5YG.01.2
171,TCGA.PK.A5H9.01.2
172,TCGA.PK.A5HA.01.2
173,TCGA.PK.A5HB.01.2
174,TCGA.OR.A5LS.01.3
175,TCGA.OR.A5LT.01.3
176,TCGA.OU.A5PI.01.3
